epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5899,3.09512,2.93994,0.00461,0.4793,0.235,0.27966,0.13766,2.25789,1.79406,0.00318,0.00165109,0.00165109,0.0686293
2,77.6129,2.53303,1.7141,0.00256,0.32712,0.37771,0.33056,0.16447,2.171,1.44021,0.00288,0.00329754,0.00329754,0.0369424
3,115.784,2.39459,1.47608,0.00224,0.49843,0.4473,0.44449,0.22023,1.88608,1.26884,0.00247,0.00486367,0.00486367,0.00517519
4,153.337,2.30235,1.38571,0.00208,0.48424,0.4492,0.47312,0.26104,1.80684,1.20024,0.00226,0.00473024,0.00473024,0.00473024
5,190.494,2.20276,1.28791,0.00195,0.51438,0.51588,0.52574,0.29318,1.64081,1.00823,0.00201,0.00452732,0.00452732,0.00452732
6,228.466,2.09658,1.24309,0.00182,0.47869,0.54585,0.54964,0.31495,1.66506,1.07186,0.00204,0.00427509,0.00427509,0.00427509
7,266.152,2.0489,1.19414,0.00175,0.66981,0.55054,0.63346,0.37164,1.5327,0.98716,0.00186,0.00397977,0.00397977,0.00397977
8,304.257,2.00743,1.16191,0.00167,0.64,0.56816,0.61242,0.34906,1.57731,1.02694,0.00191,0.00364863,0.00364863,0.00364863
9,341.794,1.9477,1.14429,0.00161,0.62509,0.5721,0.64944,0.36843,1.56021,0.89701,0.00188,0.00328982,0.00328982,0.00328982
10,379.365,1.9011,1.11045,0.00156,0.67453,0.62321,0.69211,0.41106,1.50961,0.85735,0.00186,0.00291218,0.00291218,0.00291218
11,417.855,1.72842,1.02166,0.00152,0.71861,0.59207,0.68404,0.38423,1.50633,0.88579,0.0018,0.002525,0.002525,0.002525
12,455.317,1.70388,0.93848,0.00149,0.69528,0.638,0.72251,0.38826,1.57768,0.81123,0.00185,0.00213782,0.00213782,0.00213782
13,492.789,1.66221,0.89922,0.00145,0.7141,0.61412,0.7231,0.39181,1.54662,0.79896,0.00185,0.00176018,0.00176018,0.00176018
14,530.561,1.63859,0.88973,0.00143,0.66785,0.65742,0.70834,0.39234,1.61969,0.78193,0.00195,0.00140137,0.00140137,0.00140137
15,566.862,1.62663,0.88709,0.00143,0.66922,0.70978,0.74498,0.41593,1.51478,0.7514,0.00183,0.00107023,0.00107023,0.00107023
16,602.287,1.60886,0.8793,0.00139,0.65971,0.71259,0.7345,0.43399,1.45461,0.75429,0.00171,0.000774911,0.000774911,0.000774911
17,637.606,1.59509,0.8781,0.00137,0.72273,0.68359,0.7399,0.43674,1.41325,0.72732,0.00171,0.000522683,0.000522683,0.000522683
18,673.889,1.59882,0.84808,0.00138,0.71524,0.68132,0.75111,0.44195,1.43535,0.71988,0.00172,0.000319759,0.000319759,0.000319759
19,711.454,1.5883,0.87833,0.00137,0.71332,0.69675,0.75366,0.44545,1.42085,0.72808,0.00171,0.000171135,0.000171135,0.000171135
20,749.08,1.55331,0.85111,0.00134,0.70749,0.69223,0.75146,0.44208,1.39342,0.72493,0.0017,8.04714e-05,8.04714e-05,8.04714e-05
