epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0388,1.61335,1.20411,0.00379,0.29173,0.19493,0.18028,0.09061,2.369,2.11603,0.00363,0.00166058,0.00166058,0.0684489
2,187.349,1.65338,1.12834,0.0034,0.36758,0.27144,0.3065,0.14752,2.32178,1.4693,0.00324,0.00330697,0.00330697,0.036762
3,274.97,1.59359,1.04196,0.00304,0.70322,0.30109,0.38264,0.21836,1.86734,1.32592,0.0024,0.00487293,0.00487293,0.00499458
4,361.881,1.52906,0.96777,0.0029,0.69431,0.34342,0.43979,0.22857,1.89991,1.2029,0.00242,0.00473024,0.00473024,0.00473024
5,449.062,1.51238,0.95331,0.00281,0.65394,0.48092,0.53214,0.27294,1.83569,1.15275,0.00229,0.00452732,0.00452732,0.00452732
6,536.402,1.49369,0.92589,0.00279,0.64127,0.50085,0.5585,0.28806,1.66996,1.04372,0.00201,0.00427509,0.00427509,0.00427509
7,623.904,1.44688,0.8834,0.0027,0.43999,0.55301,0.53718,0.28661,1.65151,1.03679,0.00206,0.00397977,0.00397977,0.00397977
8,712.296,1.45049,0.8934,0.00268,0.63674,0.58739,0.62094,0.32664,1.67418,0.98158,0.00204,0.00364863,0.00364863,0.00364863
9,801.806,1.40466,0.86686,0.00263,0.70737,0.54377,0.61949,0.31339,1.75133,0.92986,0.00213,0.00328982,0.00328982,0.00328982
10,888.727,1.38344,0.81104,0.00259,0.72582,0.54369,0.64215,0.33741,1.62624,0.87923,0.00195,0.00291218,0.00291218,0.00291218
11,975.858,1.28899,0.71169,0.0026,0.73051,0.53105,0.60665,0.32508,1.70228,0.94732,0.00212,0.002525,0.002525,0.002525
12,1064.78,1.27509,0.70097,0.00257,0.70145,0.55931,0.62711,0.34373,1.57139,0.93743,0.0019,0.00213782,0.00213782,0.00213782
13,1154,1.26017,0.67682,0.00255,0.82652,0.53335,0.67035,0.35425,1.63679,0.92039,0.00201,0.00176018,0.00176018,0.00176018
14,1241.62,1.2379,0.6549,0.00249,0.66828,0.68296,0.70934,0.38646,1.47347,0.80996,0.0018,0.00140137,0.00140137,0.00140137
15,1333.41,1.22616,0.64412,0.00246,0.75568,0.58054,0.69005,0.38088,1.5868,0.83193,0.00188,0.00107023,0.00107023,0.00107023
16,1424.85,1.22572,0.63678,0.00247,0.64488,0.67226,0.70816,0.39387,1.5152,0.79906,0.00184,0.000774911,0.000774911,0.000774911
17,1516.41,1.20495,0.63428,0.0024,0.75935,0.59471,0.70287,0.38999,1.53357,0.83406,0.00186,0.000522683,0.000522683,0.000522683
18,1603.03,1.19324,0.62086,0.00239,0.64968,0.66088,0.70735,0.38854,1.51418,0.83272,0.0018,0.000319759,0.000319759,0.000319759
19,1689.51,1.20292,0.63182,0.00242,0.73752,0.59219,0.6929,0.38516,1.49562,0.84876,0.00179,0.000171135,0.000171135,0.000171135
20,1780.21,1.18172,0.62247,0.00235,0.76329,0.5773,0.69878,0.39289,1.47889,0.82609,0.00175,8.04714e-05,8.04714e-05,8.04714e-05
