epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.501,1.48637,0.93763,0.00358,0.24445,0.08164,0.13701,0.05968,2.4301,2.43549,0.00455,0.00166289,0.00166289,0.0684051
2,290.71,1.51569,0.95455,0.00337,0.3019,0.23921,0.22893,0.10494,2.48072,1.80521,0.00353,0.00330926,0.00330926,0.0367182
3,436.84,1.43692,0.90784,0.00303,0.37476,0.32721,0.30788,0.16265,2.09299,1.45785,0.00283,0.00487518,0.00487518,0.00495076
4,580.308,1.3774,0.87062,0.00283,0.60326,0.26392,0.36141,0.18273,2.03346,1.22814,0.00253,0.00473024,0.00473024,0.00473024
5,724.548,1.35173,0.83531,0.00278,0.4736,0.44195,0.43052,0.22738,1.87311,1.13521,0.00234,0.00452732,0.00452732,0.00452732
6,866.846,1.36234,0.82045,0.00279,0.60104,0.44144,0.47168,0.23248,1.85756,1.18158,0.00225,0.00427509,0.00427509,0.00427509
7,1010.23,1.33573,0.7974,0.00269,0.6498,0.53422,0.56555,0.29496,1.68042,1.03042,0.0021,0.00397977,0.00397977,0.00397977
8,1150.76,1.32762,0.7813,0.00269,0.72989,0.50841,0.60189,0.31645,1.69979,0.97908,0.00211,0.00364863,0.00364863,0.00364863
9,1291.74,1.30174,0.7685,0.00263,0.65607,0.47853,0.56621,0.30273,1.66496,0.9982,0.00199,0.00328982,0.00328982,0.00328982
10,1435.11,1.28887,0.76102,0.00259,0.68796,0.54774,0.60077,0.29672,1.68102,1.0276,0.00205,0.00291218,0.00291218,0.00291218
11,1579.46,1.18775,0.63415,0.00267,0.64867,0.52716,0.59903,0.3149,1.62116,1.00451,0.00195,0.002525,0.002525,0.002525
12,1723.11,1.17759,0.61261,0.00264,0.61969,0.57536,0.62988,0.33703,1.6627,0.94451,0.00204,0.00213782,0.00213782,0.00213782
13,1865.11,1.15158,0.59232,0.00258,0.65141,0.5816,0.62948,0.33692,1.64995,0.91991,0.00199,0.00176018,0.00176018,0.00176018
14,2008.17,1.14613,0.58106,0.00257,0.71019,0.57133,0.63787,0.33806,1.65916,0.89218,0.00202,0.00140137,0.00140137,0.00140137
15,2151.42,1.13278,0.57291,0.00254,0.64006,0.58894,0.63465,0.34197,1.63349,0.887,0.00197,0.00107023,0.00107023,0.00107023
16,2295.36,1.12234,0.56516,0.00252,0.68018,0.60222,0.6516,0.35904,1.55884,0.86416,0.00186,0.000774911,0.000774911,0.000774911
17,2440.11,1.11838,0.55889,0.00251,0.68142,0.64067,0.66164,0.35599,1.61443,0.87881,0.00194,0.000522683,0.000522683,0.000522683
18,2580.39,1.11666,0.56282,0.00249,0.68834,0.5919,0.66047,0.35655,1.62924,0.85622,0.00198,0.000319759,0.000319759,0.000319759
19,2722.03,1.10733,0.55532,0.00248,0.67763,0.59018,0.65714,0.34276,1.62643,0.88308,0.00196,0.000171135,0.000171135,0.000171135
20,2862.95,1.10192,0.5556,0.00247,0.67995,0.60506,0.65184,0.34756,1.65004,0.88693,0.00197,8.04714e-05,8.04714e-05,8.04714e-05
