epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,609.548,1.1736,0.95868,0.00273,0.79427,0.55665,0.65095,0.39217,1.27912,0.89607,0.00172,0.00166604,0.00166604,0.0683453
2,1217.76,1.10763,0.72836,0.00259,0.70805,0.67347,0.70597,0.44085,1.18442,0.78603,0.00153,0.00331239,0.00331239,0.0366583
3,1811.55,1.08882,0.70024,0.00253,0.85365,0.71583,0.8109,0.49541,1.21736,0.80929,0.00161,0.00487825,0.00487825,0.00489087
4,2414.95,1.07766,0.7115,0.00254,0.87994,0.69305,0.81591,0.53673,1.10984,0.76539,0.00147,0.00473024,0.00473024,0.00473024
5,3011.34,1.05276,0.67148,0.0025,0.80398,0.73812,0.83712,0.56045,1.06081,0.74065,0.00132,0.00452732,0.00452732,0.00452732
6,3615.82,1.04855,0.66429,0.0025,0.83018,0.74154,0.83285,0.54944,1.04554,0.72256,0.00135,0.00427509,0.00427509,0.00427509
7,4207.43,1.04522,0.65297,0.00246,0.85156,0.74536,0.87086,0.59503,1.02837,0.68125,0.00131,0.00397977,0.00397977,0.00397977
8,4806.11,1.03918,0.64073,0.0025,0.80409,0.82403,0.86912,0.58568,1.02218,0.69849,0.0013,0.00364863,0.00364863,0.00364863
9,5415.39,1.0256,0.62386,0.00243,0.79436,0.82192,0.85035,0.55705,0.98148,0.79715,0.00126,0.00328982,0.00328982,0.00328982
10,6011.26,1.02812,0.61174,0.00242,0.84536,0.8006,0.89269,0.61827,1.02741,0.60542,0.00131,0.00291218,0.00291218,0.00291218
11,6623.56,0.96643,0.5224,0.00255,0.77995,0.8265,0.87063,0.58998,0.99232,0.69091,0.00126,0.002525,0.002525,0.002525
12,7229.02,0.95456,0.50851,0.00251,0.87729,0.73525,0.88027,0.60806,0.97187,0.64338,0.00125,0.00213782,0.00213782,0.00213782
13,7833.54,0.93982,0.48865,0.00249,0.83132,0.82843,0.88873,0.6178,0.94824,0.58946,0.00119,0.00176018,0.00176018,0.00176018
14,8437.26,0.92921,0.48291,0.00247,0.78472,0.82368,0.87932,0.6071,0.95833,0.64302,0.0012,0.00140137,0.00140137,0.00140137
15,9035.91,0.92082,0.47312,0.00243,0.82755,0.83099,0.89174,0.61986,0.9716,0.59638,0.00122,0.00107023,0.00107023,0.00107023
16,9636.44,0.90939,0.46357,0.00241,0.84606,0.80069,0.88466,0.61716,0.9428,0.62331,0.00119,0.000774911,0.000774911,0.000774911
17,10235.1,0.90374,0.46487,0.00242,0.85871,0.76718,0.88496,0.62195,0.93195,0.614,0.00115,0.000522683,0.000522683,0.000522683
18,10848.9,0.89637,0.46555,0.00237,0.81915,0.83221,0.88095,0.62027,0.90512,0.60764,0.00114,0.000319759,0.000319759,0.000319759
19,11452.4,0.89038,0.46151,0.00238,0.82961,0.82789,0.89066,0.62928,0.93015,0.59844,0.00116,0.000171135,0.000171135,0.000171135
20,12053.5,0.88267,0.45244,0.00236,0.8043,0.845,0.89017,0.63011,0.89877,0.59594,0.00116,8.04714e-05,8.04714e-05,8.04714e-05
