epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.926,1.2624,1.64901,1.09979,0.58533,0.56325,0.60011,0.33219,1.40914,0.89131,0.80768,0.00166289,0.00166289,0.0684051
2,237.238,1.13996,0.91987,1.014,0.6809,0.66635,0.7322,0.40738,1.48372,0.80123,0.80663,0.00330926,0.00330926,0.0367182
3,354.36,1.17101,0.92378,1.01712,0.71874,0.64556,0.67579,0.34503,1.5526,0.85464,0.81651,0.00487518,0.00487518,0.00495076
4,469.238,1.19455,0.94393,1.02506,0.77612,0.64347,0.69473,0.3508,1.5441,0.93036,0.80351,0.00473024,0.00473024,0.00473024
5,586.075,1.17184,0.90904,1.01755,0.81678,0.63383,0.73612,0.39196,1.46375,0.83577,0.80423,0.00452732,0.00452732,0.00452732
6,700.743,1.15088,0.87368,1.01455,0.83278,0.64837,0.74803,0.40745,1.40475,0.78255,0.80244,0.00427509,0.00427509,0.00427509
7,815.35,1.13297,0.84057,1.00346,0.77411,0.68188,0.75634,0.39701,1.45459,0.76739,0.80511,0.00397977,0.00397977,0.00397977
8,931.875,1.10972,0.8073,1.00249,0.82241,0.66261,0.78797,0.4559,1.34864,0.70168,0.79745,0.00364863,0.00364863,0.00364863
9,1047.41,1.09104,0.76602,0.98832,0.85979,0.71288,0.80769,0.46176,1.30627,0.7055,0.79382,0.00328982,0.00328982,0.00328982
10,1163.62,1.07057,0.73402,0.98372,0.82816,0.74431,0.82087,0.46798,1.31221,0.67696,0.79257,0.00291218,0.00291218,0.00291218
11,1279.48,1.01787,0.65838,0.99643,0.86766,0.73762,0.83458,0.45793,1.31722,0.66114,0.79688,0.002525,0.002525,0.002525
12,1394.89,1.00297,0.62125,0.98964,0.84772,0.75546,0.83627,0.48653,1.26021,0.66267,0.79001,0.00213782,0.00213782,0.00213782
13,1512.62,0.98521,0.59122,0.98156,0.84845,0.76923,0.83711,0.49063,1.22202,0.63984,0.79016,0.00176018,0.00176018,0.00176018
14,1628.65,0.95294,0.55306,0.97175,0.85258,0.76208,0.85433,0.50169,1.23771,0.61143,0.78908,0.00140137,0.00140137,0.00140137
15,1741.94,0.9323,0.52644,0.96432,0.9207,0.71583,0.85005,0.50585,1.21859,0.59975,0.78839,0.00107023,0.00107023,0.00107023
16,1854.36,0.92165,0.49844,0.95984,0.85161,0.79978,0.8717,0.51742,1.1645,0.58217,0.7858,0.000774911,0.000774911,0.000774911
17,1969.6,0.90115,0.47602,0.9519,0.88506,0.75649,0.8774,0.53255,1.14597,0.60375,0.7832,0.000522683,0.000522683,0.000522683
18,2085.81,0.89139,0.46377,0.94552,0.85911,0.76561,0.86722,0.53583,1.14507,0.58088,0.78142,0.000319759,0.000319759,0.000319759
19,2201.77,0.87368,0.44433,0.94092,0.85124,0.78698,0.8831,0.53762,1.1357,0.57155,0.78128,0.000171135,0.000171135,0.000171135
20,2317.1,0.86746,0.4348,0.94029,0.85106,0.79996,0.88609,0.53557,1.10999,0.56109,0.77959,8.04714e-05,8.04714e-05,8.04714e-05
