epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.264,1.44077,0.96962,0.00383,0.26105,0.08315,0.14757,0.08037,2.28357,2.35542,0.00405,0.00166289,0.00166289,0.0684051
2,290.269,1.46477,0.9932,0.00357,0.42403,0.22515,0.28288,0.15276,2.08597,1.70188,0.00295,0.00330926,0.00330926,0.0367182
3,434.412,1.42153,0.95524,0.00331,0.32444,0.32866,0.32581,0.16573,2.03966,1.38839,0.00271,0.00487518,0.00487518,0.00495076
4,574.37,1.39207,0.93684,0.00312,0.52099,0.3698,0.41906,0.22781,1.75187,1.21433,0.00219,0.00473024,0.00473024,0.00473024
5,713.77,1.3602,0.90206,0.0031,0.46388,0.48294,0.49103,0.24637,1.90018,1.13512,0.00247,0.00452732,0.00452732,0.00452732
6,853.181,1.36926,0.89573,0.00306,0.68273,0.49452,0.54783,0.28482,1.74335,1.05065,0.00208,0.00427509,0.00427509,0.00427509
7,996.775,1.32243,0.83802,0.00298,0.59565,0.51704,0.53723,0.24916,1.88661,1.14345,0.00235,0.00397977,0.00397977,0.00397977
8,1136.09,1.32153,0.84636,0.00296,0.68624,0.56102,0.61129,0.33036,1.66827,1.01343,0.0021,0.00364863,0.00364863,0.00364863
9,1279.25,1.29692,0.82114,0.00292,0.66445,0.56108,0.61079,0.30892,1.75362,1.01593,0.00218,0.00328982,0.00328982,0.00328982
10,1423.08,1.26845,0.80207,0.00288,0.73355,0.59658,0.64836,0.34012,1.62665,0.90331,0.00199,0.00291218,0.00291218,0.00291218
11,1565.69,1.17117,0.63521,0.00288,0.66618,0.55578,0.60724,0.30957,1.67795,1.02713,0.00206,0.002525,0.002525,0.002525
12,1708.02,1.16069,0.6115,0.00284,0.71846,0.60473,0.65014,0.35203,1.59918,0.90977,0.00195,0.00213782,0.00213782,0.00213782
13,1850.79,1.13797,0.58322,0.00278,0.66109,0.55434,0.64397,0.33084,1.62759,0.90352,0.002,0.00176018,0.00176018,0.00176018
14,1990.2,1.12606,0.57051,0.00275,0.71932,0.62613,0.67266,0.36033,1.64237,0.86961,0.00204,0.00140137,0.00140137,0.00140137
15,2129.84,1.11031,0.56637,0.00272,0.73047,0.60176,0.65911,0.33441,1.66185,0.91053,0.00203,0.00107023,0.00107023,0.00107023
16,2274.68,1.10177,0.56088,0.0027,0.70476,0.59003,0.66811,0.33258,1.6767,0.94926,0.00203,0.000774911,0.000774911,0.000774911
17,2420.01,1.09532,0.55755,0.00266,0.70633,0.62254,0.66563,0.3405,1.66201,0.91957,0.00203,0.000522683,0.000522683,0.000522683
18,2565.73,1.0946,0.54891,0.00264,0.69121,0.61139,0.66035,0.34415,1.69359,0.89405,0.00205,0.000319759,0.000319759,0.000319759
19,2711.68,1.08476,0.55044,0.00264,0.69879,0.61909,0.66009,0.3408,1.63729,0.91466,0.00199,0.000171135,0.000171135,0.000171135
20,2853.15,1.07647,0.54489,0.00262,0.68772,0.61118,0.66152,0.35439,1.59889,0.88989,0.00197,8.04714e-05,8.04714e-05,8.04714e-05
