epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.325,1.40062,0.93205,0.00368,0.22459,0.08991,0.1312,0.06651,2.30113,2.42222,0.00378,0.00166289,0.00166289,0.0684051
2,284.823,1.40821,0.87552,0.00342,0.42563,0.28526,0.2864,0.14693,2.18788,1.57696,0.003,0.00330926,0.00330926,0.0367182
3,425.196,1.36111,0.81496,0.00314,0.37943,0.38719,0.38574,0.19221,2.00671,1.2578,0.00265,0.00487518,0.00487518,0.00495076
4,564.116,1.32692,0.78127,0.00305,0.57648,0.34603,0.42066,0.22045,1.98191,1.17114,0.00255,0.00473024,0.00473024,0.00473024
5,705.681,1.31663,0.76423,0.003,0.55234,0.43,0.47669,0.24408,1.88428,1.15793,0.00233,0.00452732,0.00452732,0.00452732
6,853.293,1.28045,0.74163,0.00291,0.61266,0.49842,0.52646,0.25542,1.91816,1.10104,0.00241,0.00427509,0.00427509,0.00427509
7,996.743,1.26617,0.71857,0.00291,0.61108,0.51767,0.53188,0.25343,1.82713,1.12946,0.00224,0.00397977,0.00397977,0.00397977
8,1138.8,1.23927,0.69491,0.00284,0.82066,0.50748,0.60692,0.31658,1.68095,1.0428,0.00207,0.00364863,0.00364863,0.00364863
9,1279.18,1.23069,0.68133,0.00278,0.67753,0.55354,0.58593,0.29349,1.71368,1.00262,0.00217,0.00328982,0.00328982,0.00328982
10,1419.33,1.21735,0.66534,0.00279,0.65458,0.5753,0.61398,0.3203,1.68699,0.93493,0.00205,0.00291218,0.00291218,0.00291218
11,1566.99,1.15572,0.60391,0.00284,0.67249,0.55529,0.6281,0.30214,1.87321,0.94223,0.00238,0.002525,0.002525,0.002525
12,1716.31,1.15737,0.58698,0.00282,0.72459,0.55919,0.65815,0.35504,1.61136,0.86879,0.00196,0.00213782,0.00213782,0.00213782
13,1865.07,1.12825,0.5698,0.00275,0.64118,0.58075,0.6573,0.36609,1.51917,0.88433,0.00182,0.00176018,0.00176018,0.00176018
14,2007.59,1.11953,0.5625,0.00272,0.71757,0.60489,0.68079,0.37335,1.57745,0.86897,0.00197,0.00140137,0.00140137,0.00140137
15,2150.22,1.11028,0.5577,0.00271,0.8189,0.53494,0.66322,0.36866,1.56756,0.89966,0.00195,0.00107023,0.00107023,0.00107023
16,2295.95,1.10166,0.54999,0.0027,0.6939,0.6222,0.68374,0.37702,1.56321,0.8721,0.00191,0.000774911,0.000774911,0.000774911
17,2440.31,1.09515,0.5434,0.00266,0.68508,0.58831,0.67705,0.36907,1.60366,0.83641,0.00198,0.000522683,0.000522683,0.000522683
18,2579.98,1.0892,0.53992,0.00262,0.65513,0.63934,0.67829,0.37042,1.54654,0.86699,0.00188,0.000319759,0.000319759,0.000319759
19,2722.31,1.08303,0.54561,0.00263,0.65775,0.64693,0.6809,0.37365,1.56375,0.8795,0.00191,0.000171135,0.000171135,0.000171135
20,2861.33,1.07446,0.53888,0.00261,0.67171,0.63945,0.68347,0.38602,1.50274,0.86267,0.00185,8.04714e-05,8.04714e-05,8.04714e-05
